id_prod;nome_produto;id_conc;cidade_produto;cep_produto;endereco_produto;estado_produto;data_produto;tipo_oferta;grande_area;sub_area;pubico_alvo;faixa_peco;duração;maturidade;100% Online;grande_area_legenda;sub_area_legenda;
2348;Despertando para o Lean;294;;;Florianópolis;SC;02/01/2022;1;4.0;4.4;2;Gratuito;3.0;1;Sim;produção;produtividade;
2364;Acesso a capital para Startups;294;;;Florianópolis;SC;02/01/2022;1;1.0;1.1;1;Gratuito;3.0;1;Sim;financeiro;gestão financeira;
2379;Exportar: Sua empresa também pode;294;;;Florianópolis;SC;02/01/2022;1;2.0;2.6;1;Gratuito;10.0;1;Sim;mercado;exportação novos mercados;
2393;Expansão: A estrategia de crescimento certa para seu negócio;294;;;Florianópolis;SC;03/01/2022;1;5.0;5.1;2;Gratuito;2.0;1;Sim;estratégia;expansão;
2407;Como elaborar o plano de negócio;294;;;Florianópolis;SC;03/01/2022;1;5.0;5.2;2;Gratuito;2.0;1;Sim;estratégia;qual negócio entrar;
2420;Como comprar bem e de bons fornecedores;294;;;Florianópolis;SC;03/01/2022;1;2.0;2.2;1;Gratuito;2.0;1;Sim;mercado;fornecedores;
2432;Inovação;294;;;Florianópolis;SC;03/01/2022;1;4.0;4.4;2;Gratuito;3.0;1;Sim;produção;produtividade;
2445;Controle de gastos no serviço;294;;;Florianópolis;SC;03/01/2022;1;1.0;1.1;1;Gratuito;3.0;1;Sim;financeiro;gestão financeira;
2462;Receita de sucesso: Seu negócio no caminho certo;294;;;Florianópolis;SC;03/01/2022;1;4.0;4.1;1;Gratuito;3.0;1;Sim;produção;processo produtivo;
2479;Acesso a mercado para Startups;294;;;Florianópolis;SC;03/01/2022;1;2.0;2.4;1;Gratuito;2.0;1;Sim;mercado;vendas;
2494;Como planejar o seu negócio;294;;;Florianópolis;SC;03/01/2022;1;5.0;5.2;2;Gratuito;3.0;1;Sim;estratégia;qual negócio entrar;
2511;Como captar recursos para seu negócio;294;;;Florianópolis;SC;03/01/2022;1;1.0;1.1;2;Gratuito;2.0;1;Sim;financeiro;gestão financeira;
2528;Como administrar um pequeno negócio;294;;;Florianópolis;SC;03/01/2022;1;1.0;1.1;2;Gratuito;3.0;1;Sim;financeiro;gestão financeira;
