Código;;Site;Rua;CEP;Cidade;Estado;CNPJ;Data de início de atividade;
95;IT E TREINAMENTOS;https://www.itetreinamentos.com.br/;;;;AM;07.891.936/0001-07;09/03/2006;
96;METAMORFOSE CONSULTORIA;http://metamorfoseconsultoria.com.br/;;;;AM;09.042.786/0001-84;28/08/2007;
97;OTIMIZARH;https://otimizarh.wordpress.com/2019/05/24/vagas-em-rh/;;;;AM;32.088.093/0001-44;23/11/2018;
98;PAULA PEDROZA;http://paulapedrosa.com.br/;;;;AM;26.765.311/0001-35;27/12/2016;
99;QUARTZO CONSULTORIA;https://www.quartzoconsultoria.com/;;;;AM;08.294.038/0001-26;31/08/2006;
100;MMATTOS CONSULTORIA;https://mmattosconsultoria.net/;;;;BA;25.145.659/0001-67;05/07/2016;
101;COOLIBA;https://cooliba.com.br/;;;;BA;02.797.879/0001-70;03/08/1998;
102;CARLAGO;http://www.carlagalo.com.br/;;;;BA;08.606.894/0001-70;26/01/2007;
103;ÁGIL ASSESSORIA CONTÁBIL;https://agilassessoriacontabil.com.br/servicos/assessoria-empresarial/;;;;BA;12.332.952/0001-91;21/07/2010;
104;DNCE;https://dnce.com.br/;;;;BA;23.724.502/0001-60;24/11/2015;
105;CONGNITIVE CPC;https://cognitivecpc.webnode.com/;;;;BA;28.942.151/0001-88;28/04/2020;
106;4RS CONSULTORIA;https://www.4rsconsultoria.com.br/;;;;BA;21.376.963/0001-64;10/11/2014;
107;CONEX CONTÁBIL;http://www.conexcontabil.com.br/;;;;BA;07.003.927/0001-24;20/09/2004;
108;REDE GESS;https://redegess.com.br/;;;;BA;26.826.512/0001-03;09/01/2017;
109;ANGELUS - SOLUÇÕES EMPRESARIAIS;;;;;CE;11.165.508/0001-66;10/04/2018;
110;ROGÉRIO CASTILHO;https://www.rogeriocastilho.com.br/palestras/;;;;CE;04.848.512/0001-63;20/12/2001;
111;INNI EMPRESAS;https://inniempresas.com.br/pt_BR/;;;;CE;18.922.098/0001-08;20/09/2013;
112;ID CONSULTORIA EMPRESARIAL;http://idconsultoriaempresarial.com.br/inicial.asp;;;;CE;41.493.927/0001-98;07/04/2021;
113;V2MAIS;https://v2mais.com/;;;;DF;07.901.377/0001-60;02/03/2006;
114;CONSULTARH;https://www.consultarh.com.br/;;;;DF;06.126.121/0001-60;13/02/2004;
115;MOLLITIAM CONSULTORIA;;;;;DF;26.430.800/0001-36;26/10/2016;
116;INSIGHT CONSULTORES;https://insight-consultores.com.br/;;;;DF;18.496.512/0001-56;16/07/2013;
117;MARIO CONDES COACH;https://mariocondescoach.com.br/;;;;ES;44.627.548/0001-31;17/12/2021;
118;PROPSERA AGRO AMBIENTAL;https://www.prosperaagroambiental.com.br/;;;;ES;36.088.942/0001-10;22/01/2020;
119;APROJ;https://www.aproj.com.br/servicos;;;;ES;21.861.648/0001-22;11/02/2015;
120;EVOLUIR SST;https://evoluirsst.com/;;;;GO;33.597.866/0001-80;13/05/2019;
121;STUDIONZE;https://studioonze.negocio.site/;;;;GO;12.066.026/0001-11;10/06/2012;
122;SMARTBOSS;https://www.smartboss.com.br/;;;;GO;10.964.767/0001-94;15/07/2009;
123;EQUILYBRE;http://www.equillybre.com.br/servicos;;;;GO;30.435.046/0001-02;11/05/2018;
124;JANDERSON SANTOS;https://jandersonsantos.com.br/;;;;GO;Não encontrado;;
125;GESTOR AIR;https://www.gestorair.com.br/;;;;GO;26.651.664/0001-04;02/12/2016;
126;GM7 EDUCAÇÃO CORPORATIVA;;;;;GO;18.179.795/0001-02;24/05/2013;
127;ACCELERE;https://accelere.se/;;;;GO;07.322.394/0001-43;18/03/2005;
128;HS ENGENHARIAS;https://hsqengenharias.com.br/servicos/;;;;MA;22.816.712/0001-16;07/07/2015;
129;AIRSEMAR;https://www.airsemear.com.br/;;;;MA;05.455.463/0001-61;11/12/2002;
130;GAKKAICONSULTORIA;https://gakkaiconsultoria.com.br/;;;;;17.059.788/0001-04;07/07/2015;
131;WITSEED;https://marketing.witseed.com/educacao-corporativa;;;;;29.220.608/0001-03;06/12/2017;
132;COMSCHOOL;https://www.comschool.com.br/;;;;;17.816.363/0001-00;06/02/2013;
133;INTER HUNTER ACADEMY;https://interhunteracademy.com.br/;;;;;42.154.952/0001-00;31/05/2021;
134;CURSOS CPT;https://www.cpt.com.br/cursos-gestaoempresarial;;;;;05.052.622/0001-87;10/05/2002;
135;IPED;https://www.iped.com.br/universidade-corporativa;;;;;28.268.500/0004-70;16/09/2014;
136;PRIME CRUSOS;https://www.primecursos.com.br/;;;;;09.408.027/0001-92;10/03/2018;
137;O CLASSIFICADOR;http://www.oclassificador.com.br/v1/cursos.html;;;;;14.613.739/0001-83;14/11/2011;
138;FACOPI;https://www.facopi.com.br/;;;;MG;24.923.680/0001-83;02/06/2016;
139;UPPER COACHING;http://www.uppercoaching.com.br/treinamentos/;;;;MG;Não localizado;;
140;CABBRAZIL;https://cabbrazil.com.br/treinamentos;;;;MG;29.072.219/0001-88;14/11/2017;
141;AGILDOC;https://www.agildoc.com.br/;;;;MG;19.679.329/0001-59;07/02/2014;
142;VALUSCONSULTORIA;https://www.valusconsultoria.com/;;;;MG;34.976.588/0001-35;24/09/2019;
143;AMFC;https://www.amfc.com.br/consultoria;;;;MG;03.589.089/0001-61;19/11/1999;
144;GAIA CONSULTING;https://www.gaiaconsulting.com.br/;;;;MG;14.796.968/0001-80;21/12/2011;
146;ACQUALIS ENGENHARIA;https://acqualisengenharia.com.br/;;;;;17.702.239/0001-06;28/02/2013;
147;PROSEGPA;https://www.prosegpa.com.br/;;;;;18.332.390/0001-62;18/06/2013;
148;PORTAL FGV;https://portal.fgv.br/;;;;;33.641.663/0001-44;16/02/1967;
149;IED SÃO PAULO;https://ied.edu.br/sao_paulo/;;;;;08.620.427/0001-02;31/01/2007;
150;GRUPO IBECC;https://ibecc.com.br/calendario-de-cursos/;;;;pr;06.860.103/0001-08;;
151;MEI FÁCIL;https://meifacil.com/;;;;;;;
