Código,Nome,Site,Rua,CEP,Cidade,Estado,CNPJ,Data de início de atividade,Unnamed: 9,quantidade_de_cursos,preco_medio,preco_std,duracao_media,duracao_std,maturidade_media,prop_online,preco_hora_medio,idade
201,IMPACTA,https://impacta.com.br/,,,,,59.069.914/0001-51,1988-06-10,,21,796.1885714285712,750.8344517825974,18.19047619047619,21.968850345148432,2.380952380952381,1.0,43.76952879581151,34.35890410958904
204,INTEGRAÇÃO - ESCOLA DE NEGÓCIOS,https://integracao.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=institucional&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsCAt3Pkty8Daa36METbFKP4ZMkrjm3EaBo9RVIixTXFpROWd4i5IN4aArWJEALw_wcB,,,,,03.493.782/0001-36,1999-09-30,,9,1350.0,664.6803743153547,12.0,3.39934634239519,2.2222222222222223,1.0,112.5,23.046575342465754
207,SLA COACHING,https://www.slacoaching.com.br/,,,,SP,15.229.739/0001-47,2012-02-15,,44,0.0,0.0,112.0,25.180280213450903,4.0,0.0,0.0,10.66027397260274
209,MACKENZIE,https://www.mackenzie.br/aluno-e-antigo-aluno/universidade/protagonismo-estudantil/empresa-junior,,,,SP,60.967.551/0008-27,2008-09-16,,25,19550.72,17751.013563219425,332.84,176.46295475254857,3.64,0.24,58.7390938589112,14.076712328767123
213,MICROLINS,https://www.microlins.com.br/,,,,SP,11.490.350/0001-08,2010-01-08,,8,1917.7987500000002,914.7582962241653,233.625,119.39214536559764,1.75,1.0,8.208876404494383,12.764383561643836
215,MULTIVIX,https://multivix.edu.br/,,,,ES,11.062.400/0001-48,2009-08-10,,5,149.0,0.0,53.0,33.1058907144937,3.0,1.0,2.811320754716981,13.178082191780822
233,UNESP,https://www2.unesp.br/,,,,SP,48.031.918/0038-16,2008-01-25,,3,0.0,0.0,393.3333333333333,24.944382578492945,4.0,0.0,0.0,14.72054794520548
234,UNIASSELVI,https://portal.uniasselvi.com.br/,,,,SC,01.894.432/0001-56,1997-05-30,,29,2513.2551724137934,719.9166961321274,358.62068965517244,98.67131567712782,3.586206896551724,1.0,7.008115384615385,25.383561643835616
239,UNOPAR,https://www.unopar.com.br/,,,,PR,13.284.099/0001-42,2011-02-21,,7,57.75714285714285,5.2489065916782405,34.285714285714285,9.035079029052513,3.4285714285714284,1.0,1.6845833333333333,11.643835616438356
241,UNIVILLE,https://www.univille.edu.br/,,,,SC,84.714.682/0001-94,1970-02-24,,38,3444.6666666666665,205.2974806361626,354.5263157894737,117.4695339768673,3.973684210526316,0.47368421052631576,9.716250989707046,52.66301369863014
243,UVA,https://www.uva.br/,,,,RJ,34.185.306/0017-49,2014-01-14,,5,0.0,0.0,3.2,1.9390719429665317,1.8,1.0,0.0,8.745205479452055
244,MIT,https://exec.mit.edu/s/,,,,,Fora do país,,,31,4610.0,1163.1422956801116,16.6,6.6513156593263565,2.870967741935484,1.0,277.71084337349396,
245,GISMA,https://www.gisma.com/,Alemanha,,,,Fora do país,,,3,6085.653333333333,1114.2919121526859,48.0,3.265986323710904,2.0,1.0,126.78444444444443,
247,AUSTRÁLIA BRASIL,https://australiabrasil.com.br/,Austrália,,,,Fora do país,,,4,77.5,37.239092362730865,4.25,2.48746859276655,3.0,1.0,18.235294117647058,
251,IMD,https://www.imd.org/IMD-Business-School/lp/world-best-business-school-in-the-world/?utm_source=Google&utm_medium=paid-search&utm_campaign=AD_SEM_BusSchool&mrk_cmpg_source=AD_SEM_AW_LP_BG-BS_17&utm_source=google&utm_medium=cpc&utm_campaign=AD_SEM_AW_LP_BG-BS_17&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsDFgXXxB40HB4c0LNVjd4wMu4QWU2VWWFB9mrScrTDKsfA71uIH-b8aAiowEALw_wcB,Suíça,,,,Fora do país,,,5,16833.12,0.0,50.0,0.0,2.0,1.0,336.6624,
256,FUTURE LEARN,https://www.futurelearn.com/subjects/business-and-management-courses,Inglaterra,,,,Fora do país,,,37,121.35999999999997,2.842170943040401e-14,10.297297297297296,3.6677179359324046,2.8378378378378377,1.0,11.78561679790026,
257,HARVARD BUSINESS SCHOOL ONLINE,https://online.hbs.edu/courses/,Estados Unidos,,,,Fora do país,,,17,7698.197647058822,2449.571496567198,52.88235294117647,25.120608724689813,2.3529411764705883,1.0,145.5721468298109,
